Species
Abies_concolor
Abrahamia_elongata
Abrus_precatorius
Abutilon_pseudocleistogamum
Acacia_bellula
Acalypha_decaryani
Achyranthes_alba
Achyrocalyx_decaryi
Adansonia_za
Adenia_gracilis
Aerva_javanica
Aframomum_angustifolium
Afzelia_bijuga
Agave_bracteosa
Agelaea_pentagyna
Alafia_intermedia
Alantsilodendron_villosum
Alberta_magna
Albizia_tulearensis
Alchornea_cordifolia
Allophylus_angustatus
Alluaudia_procera
Aloe_vaombe
Amaranthus_spinosus
Ambavia_gerrardii
Ampelocissus_elegans
Ampelosycios_humblotii
Amyrea_humbertii
Androya_decaryi
Angraecum_leonis
Anisocycla_linearis
Anisophyllea_fallax
Anthocleista_vogelii
Anthostema_madagascariense
Antiaris_toxicaria
Antidesma_fordii
Antirhea_borbonica
Aphloia_theiformis
Apodytes_thouvenotii
Arachis_pintoi
Ardisia_capuronii
Argemone_fruticosa
Argyreia_vahibora
Aristolochia_bernieri
Artabotrys_hexapetalus
Artocarpus_lowii
Asparagus_africanus
Aspidostemon_parvifolius
Asteropeia_multiflora
Astrotrichilia_elliotii
Aucoumea_klaineana
Avicennia_alba
Azadirachta_indica
Azima_tetracantha
Bakerella_belohensis
Baphia_nitida
Barringtonia_racemosa
Baseonema_gregorii
Bathiorhamnus_louvelii
Baudouinia_fluggeiformis
Bauhinia_grandidieri
Beguea_apetala
Beilschmiedia_zeylanica
Bembiciopsis_uniflora
Berchemia_discolor
Bidens_pilosa
Bivinia_jalbertii
Boehmeria_platyphylla
Boerhavia_diffusa
Boscia_longifolia
Bougainvillea_spectabilis
Bremeria_landia
Breonia_perrieri
Brexia_madagascariensis
Brexiella_longipes
Bridelia_glauca
Brochoneura_acuminata
Broussonetia_kaempferi
Brunfelsia_purpurea
Buddleja_madagascariensis
Bulbophyllum_drymoglossum
Burasaia_madagascariensis
Bussea_perrieri
Buxus_riparia
Byttneria_voulily
Cabucala_polysperma
Cadaba_virgata
Caesalpinia_pulcherrima
Calantica_cerasifolia
Calliandra_molinae
Calophyllum_paniculatum
Calopyxis_grandidieri
Camellia_pitardii
Canarium_balansae
Canephora_axillaris
Canthium_armatum
Capparis_bodinieri
Capurodendron_rubrocostatum
Capuronia_madagascariensis
Carallia_brachiata
Cardiospermum_halicacabum
Carica_papaya
Carissa_edulis
Carphalea_pubescens
Casearia_lucida
Cassia_fistula
Cassine_glauca
Cassinopsis_madagascariensis
Cassipourea_microphylla
Cassytha_filiformis
Casuarina_equisetifolia
Cathariostachys_madagascariensis
Cecropia_peltata
Cedrelopsis_microfoliolata
Ceiba_pentandra
Celtis_laevigata
Celastrus_scandens
Cephalocroton_leucocephalus
Cephalostachyum_viguieri
Cereus_repandus
Chadsia_grevei
Chamaesyce_arabica
Chasmanthera_dependens
Chionanthus_virginicus
Chloroxylon_faho
Chrysophyllum_perrieri
Cissampelos_pareira
Cissus_quadrangularis
Citrullus_mucosospermus
Citrus_inodora
Cleistanthus_boivinianus
Clerodendrum_petunioides
Clidemia_hirta
Clitoria_lasciva
Cnestis_polyphylla
Cocos_nucifera
Coffea_resinosa
Colea_purpurascens
Colvillea_racemosa
Combretum_phaneropetalum
Commicarpus_scandens
Commiphora_stellulata
Coptosperma_nigrescens
Corallocarpus_grevei
Cordia_subcordata
Cordyla_africana
Craspidospermum_verticillatum
Craterispermum_laurinum
Crateva_simplicifolia
Crotalaria_retusa
Croton_mongue
Cryptocarya_thouvenotii
Cryptostegia_madagascariensis
Cucumis_variabilis
Cuscuta_japonica
Cussonia_spicata
Cynodon_dactylon
Cynometra_dauphinensis
Cyperus_luzulae
Cyphostemma_juttae
Cytinus_hypocistis
Dalbergia_monticola
Danais_fragrans
Decarydendron_helenae
Deidamia_bicolor
Deinbollia_maxima
Delonix_elata
Desmanthus_cooleyi
Desmodium_ramosissimum
Desmostachys_planchoniana
Dialium_unifoliolatum
Dialyceras_parvifolium
Dichaetanthera_cordifolia
Dichapetalum_rugosum
Dichrostachys_spicata
Dicoma_tomentosa
Dicoryphe_guatteriifolia
Didierea_trollii
Dillenia_triquetra
Dilobeia_thouarsii
Dioscorea_glabra
Diospyros_vescoi
Diporidium_greveanum
Dolichos_trilobus
Dombeya_pubescens
Domohinea_perrieri
Doratoxylon_stipulatum
Drypetes_madagascariensis
Dupuya_madagascariensis
Dypsis_mananjarensis
Ecbolium_viride
Echinochloa_crus-galli
Ehretia_cymosa
Eichhornia_crassipes
Elaeocarpus_subserratus
Elaeodendron_micranthum
Embelia_undulata
Entada_phaseoloides
Enterospermum_coriaceum
Ephippiandra_madagascariensis
Erica_carnea
Erigeron_hyrcanicus
Eriobotrya_japonica
Erythrophysa_belinii
Erythroxylum_sphaeranthum
Ethulia_conyzoides
Eucalyptus_grandis
Eugenia_biflora
Eulophia_flava
Euodia_pubifolia
Euonymus_pleurostylioides
Euphorbia_tirucalli
Evonymopsis_humbertii
Faucherea_parvifolia
Ficus_trichopoda
Filicium_decipiens
Flacourtia_indica
Flagellaria_indica
Flueggea_virosa
Foetidia_retusa
Gaertnera_phyllostachya
Garcinia_verrucosa
Gardenia_volkensii
Genipa_americana
Givotia_madagascariensis
Glenniea_pervillei
Gloriosa_superba
Gouania_polygama
Grangeria_borbonica
Grevea_madagascariensis
Grewia_tulearensis
Grisollea_myriantha
Gymnosporia_divaricata
Gyrocarpus_americanus
Gyrostipula_foveolata
Haematodendron_glabrum
Haplocoelum_perrieri
Harungana_madagascariensis
Heritiera_littoralis
Hevea_pauciflora
Hibiscus_thespesianus
Hildebrandtia_valo
Hippocratea_volubilis
Hirtella_davisii
Holmskioldia_sanguinea
